date,open,high,low,close,volume
2018-08-25 00:00:00,6693.6,6799.7,6670.0,6732.9,110848836.89
2018-08-26 00:00:00,6732.9,6789.0,6557.0,6707.0,104193264.65
2018-08-27 00:00:00,6707.0,6940.8,6652.7,6909.4,154013519.07
2018-08-28 00:00:00,6909.4,7127.9,6872.0,7079.9,197235107.63
2018-08-29 00:00:00,7079.9,7139.4,6924.27,7039.0,139637219.31
2018-08-30 00:00:00,7039.0,7060.0,6802.1,6986.0,158007419.0
2018-08-31 00:00:00,6986.0,7100.0,6881.6,7014.6,127538522.88
2018-09-01 00:00:00,7014.6,7269.9,7011.3,7197.4,138356034.18
2018-09-02 00:00:00,7197.4,7416.9,7135.3,7300.0,299002871.87
2018-09-03 00:00:00,7300.0,7360.0,7200.0,7267.8,154637944.1
2018-09-04 00:00:00,7267.8,7415.4,7246.2,7358.9,145456029.46
2018-09-05 00:00:00,7358.9,7404.0,6700.0,6704.0,366681692.0
2018-09-06 00:00:00,6704.0,6731.3,6302.2,6516.1,337954015.21
2018-09-07 00:00:00,6516.1,6549.5,6322.8,6397.0,132973646.11
2018-09-08 00:00:00,6397.0,6475.5,6119.5,6184.94,114399079.77
2018-09-09 00:00:00,6184.94,6447.8,6140.5,6239.9,95412358.05
2018-09-10 00:00:00,6239.9,6373.68,6219.0,6314.9,89366606.45
2018-09-11 00:00:00,6314.9,6399.6,6170.0,6290.9,103492072.05
2018-09-12 00:00:00,6290.9,6355.0,6202.8,6332.42,102325343.4
2018-09-13 00:00:00,6332.42,6528.4,6332.42,6489.0,117805914.08
2018-09-14 00:00:00,6489.0,6596.5,6376.2,6480.1,100490027.89
2018-09-15 00:00:00,6480.1,6572.2,6465.6,6512.8,54159419.75
2018-09-16 00:00:00,6512.8,6520.6,6401.9,6498.4,48314667.72
2018-09-17 00:00:00,6498.4,6543.3,6202.8,6252.0,138855236.34
2018-09-18 00:00:00,6252.0,6384.0,6228.1,6335.4,100346177.39
2018-09-19 00:00:00,6335.4,6525.8,6110.0,6390.9,156555659.59
2018-09-20 00:00:00,6390.9,6557.0,6340.0,6493.91,93457852.14
2018-09-21 00:00:00,6493.91,6790.5,6473.8,6762.1,234605337.62
2018-09-22 00:00:00,6762.1,6840.9,6636.0,6723.0,103109243.08
2018-09-23 00:00:00,6723.0,6785.9,6661.5,6710.0,57151074.42
2018-09-24 00:00:00,6710.0,6721.7,6555.0,6585.1,115723074.92
2018-09-25 00:00:00,6585.1,6585.1,6328.0,6442.8,128898926.13
2018-09-26 00:00:00,6442.8,6558.0,6382.5,6462.4,84598401.99
2018-09-27 00:00:00,6462.4,6745.0,6436.7,6691.2,113860257.37
2018-09-28 00:00:00,6691.2,6826.42,6541.9,6635.2,184677238.97
2018-09-29 00:00:00,6635.2,6635.2,6466.0,6597.3,109831355.24
2018-09-30 00:00:00,6597.3,6662.8,6529.6,6622.4,54645264.98
2018-10-01 00:00:00,6622.4,6660.0,6500.0,6601.9,67511869.64
2018-10-02 00:00:00,6601.9,6644.7,6467.9,6527.6,78103071.99
2018-10-03 00:00:00,6527.6,6555.1,6424.6,6503.2,92367971.94
2018-10-04 00:00:00,6503.2,6648.8,6495.2,6590.4,71370798.22
2018-10-05 00:00:00,6590.4,6741.44,6506.6,6639.9,82637324.34
2018-10-06 00:00:00,6639.9,6648.2,6563.7,6595.2,38280794.85
2018-10-07 00:00:00,6595.2,6640.4,6525.0,6609.4,38405707.71
2018-10-08 00:00:00,6609.4,6730.0,6585.9,6673.2,84867099.68
2018-10-09 00:00:00,6673.2,6682.0,6605.0,6663.0,54138899.1
2018-10-10 00:00:00,6663.0,6663.1,6513.53,6630.07,91269880.6
2018-10-11 00:00:00,6630.07,6630.07,6220.4,6251.9,263411060.64
2018-10-12 00:00:00,6251.9,6353.4,6220.3,6291.9,65596414.91
2018-10-13 00:00:00,6291.9,6333.7,6280.3,6326.5,36732503.39
2018-10-14 00:00:00,6326.5,6399.3,6302.5,6336.4,71504393.2
2018-10-15 00:00:00,6336.4,7788.0,6294.6,6742.0,587800439.81
2018-10-16 00:00:00,6742.0,6897.6,6669.1,6754.2,105941612.46
2018-10-17 00:00:00,6754.2,6794.0,6674.3,6736.0,59834386.04
2018-10-18 00:00:00,6736.0,6779.9,6566.7,6613.2,83816613.33
2018-10-19 00:00:00,6613.2,6639.5,6518.2,6525.1,73995276.09
2018-10-20 00:00:00,6525.1,6611.0,6511.0,6586.7,30545359.06
